,strategy,benchmark
2021-01-04,100000.0,100000.0
2021-01-05,100000.0,100560.90689788964
2021-01-06,100000.0,101090.60544206211
2021-01-07,100000.0,102866.10772786316
2021-01-08,100000.0,105362.58133242607
2021-01-11,100000.0,103450.37477466879
2021-01-12,100000.0,104453.65143118374
2021-01-13,100000.0,102804.26797740014
2021-01-14,100000.0,104018.14006979147
2021-01-15,100000.0,101508.68485588883
2021-01-18,100000.0,102132.04734608287
2021-01-19,100000.0,101652.73213402828
2021-01-20,100000.0,100839.83375154555
2021-01-21,100000.0,99774.22084601119
2021-01-22,100000.0,98703.5536500158
2021-01-26,100000.0,98107.14737561397
2021-01-27,100000.0,97616.88120089381
2021-01-28,100000.0,99985.96050855555
2021-01-29,100000.0,97214.67154496541
2021-02-01,100000.0,98352.68497482793
2021-02-02,100000.0,99080.91300910668
2021-02-03,100000.0,100330.38136251246
2021-02-04,100000.0,99941.54614052702
2021-02-05,100000.0,100497.98275129928
2021-02-08,100000.0,100155.23791123022
2021-02-09,100000.0,100082.33130710795
2021-02-10,100000.0,99245.16237011775
2021-02-11,100000.0,99919.75795998472
2021-02-12,100000.0,99820.03513365657
2021-02-17,100000.0,100888.49398717258
2021-02-18,100000.0,99840.147300311
2021-02-19,100000.0,99511.64857828882
2021-02-22,100000.0,96478.94914693116
2021-02-23,100000.0,98670.25129897964
2021-02-24,100000.0,99047.88484687076
2021-02-25,100000.0,96126.14864413947
2021-02-26,100000.0,94224.2799142842
2021-03-01,100000.0,94481.17348427816
2021-03-02,100000.0,95513.0293237539
2021-03-03,100000.0,95208.18228736107
2021-03-04,100000.0,96497.78800873074
2021-03-05,100000.0,98648.84350148015
2021-03-08,100000.0,95642.43876529833
2021-03-09,100000.0,96264.13363992539
2021-03-10,100000.0,97513.57605138035
2021-03-11,100000.0,99422.75864272472
2021-03-12,100000.0,98710.27383508535
2021-03-15,100000.0,99307.75806090912
2021-03-16,100000.0,98588.35592504026
2021-03-17,100000.0,100775.96097762231
2021-03-18,100000.0,99293.92340445012
2021-03-19,100000.0,100493.21518624116
2021-03-22,100000.0,99418.43531258128
2021-03-23,100000.0,97933.80374132303
2021-03-24,100000.0,96897.93383895415
2021-03-25,100000.0,98355.76076332305
2021-03-26,100000.0,99247.23143890096
2021-03-29,100000.0,99798.88836520424
2021-03-30,100000.0,101036.2254522576
2021-03-31,100000.0,100849.45759006086
2021-04-01,100809.59456523042,99655.35380444197
2021-04-05,102180.55488731302,101613.82235942157
2021-04-06,101936.12253947087,101597.3937048765
2021-04-07,102301.68088487789,101705.47695846255
2021-04-08,102294.92682333803,102301.23185222896
2021-04-09,103244.61864345618,101745.25159578222
2021-04-12,104121.55453367323,102732.70020054454
2021-04-13,104455.53675211425,103152.0632244585
2021-04-14,104180.38964740586,104014.99992108968
2021-04-15,104890.77648700187,104366.05432873724
2021-04-16,104771.23862278179,104723.16139858562
2021-04-19,104469.29465556818,104567.52151342169
2021-04-20,103822.00390778703,103813.53273640526
2021-04-22,101609.1076039964,103216.04851058147
2021-04-23,102778.9395912067,104218.1964378315
2021-04-26,102317.4394804443,104274.39972969626
2021-04-27,103273.63473442273,103230.74783306918
2021-04-28,101675.97786380933,104670.41677083563
2021-04-29,101589.91928211732,103816.99140052003
2021-04-30,102100.40613526248,102803.60281489704
2021-05-03,100857.95638848351,103075.97261393395
2021-05-04,101221.6499580929,101781.5675689872
2021-05-05,103368.11057661775,103382.92905411843
2021-05-06,105948.225712635,103691.61482636024
2021-05-07,106647.01324153207,105522.1128090939
2021-05-10,107047.12283157841,105410.57089139307
2021-05-11,109152.74260825284,106322.79355165949
2021-05-12,106697.36920355415,103509.17029430692
2021-05-13,104689.68854775238,104370.37765888072
2021-05-14,102542.33906142114,105386.36024258977
2021-05-17,105290.2036681567,106300.31223491358
2021-05-18,106079.30892742227,106336.62820811849
2021-05-19,104855.86057187634,106039.18309424962
2021-05-20,102350.61358026914,106095.38638611436
2021-05-21,102227.98889041331,106001.13778898731
2021-05-24,101276.11627266282,107246.25687029884
2021-05-25,99973.84805384655,106343.54553634797
2021-05-26,100103.65491740267,107209.07623106518
2021-05-27,101051.07635546903,107535.91998990945
2021-05-28,100299.74677932885,108568.33122816357
2021-05-31,101086.54549479023,109134.68747695458
2021-06-01,102016.76938767501,110908.11750179481
2021-06-02,102124.40680453651,112061.58198406531
2021-06-04,100628.44835835132,112515.53164912679
2021-06-07,100074.27965720861,113077.56456777435
2021-06-08,98672.05102967353,112222.40986540137
2021-06-09,100031.56734431633,112326.16978884401
2021-06-10,100028.5955575504,112472.29834769235
2021-06-11,100680.01475970105,111923.23541947512
2021-06-14,99942.0262635601,112586.43426347924
2021-06-15,98983.10641237504,112485.26833812268
2021-06-16,96313.97864208693,111765.8662022538
2021-06-17,93919.59741573044,110726.53763577015
2021-06-18,94186.73643333404,111027.44141375378
2021-06-21,95548.81427599107,111771.05419842595
2021-06-22,95910.26181173135,111340.45051613904
2021-06-23,95859.04682197045,111047.32873241362
2021-06-24,97193.25499487316,111986.35603956942
2021-06-25,96689.16294102142,110033.94014679067
2021-06-28,96228.58042767778,110183.52736975378
2021-06-29,96285.94487275711,110095.33143482755
2021-06-30,95528.99544861718,109641.38176976604
2021-07-01,94231.40073126148,108659.12116117585
2021-07-02,95532.25630398018,110350.40791329066
2021-07-05,94515.74777463889,109743.41236115129
2021-07-06,92434.38499215346,108165.39685879467
2021-07-07,93707.60802028632,109829.01429799145
2021-07-08,92342.88991422908,108453.33064634795
2021-07-12,93828.64926616779,110326.19726448736
2021-07-13,94215.11025952098,110822.5155649546
2021-07-14,94138.87615306769,111029.17074581118
2021-07-15,92958.56874471297,110217.24934487262
2021-07-16,92064.50944961945,108913.33297361029
2021-07-19,90331.75728677864,107560.13063871268
2021-07-20,91216.3282747948,108429.98466357336
2021-07-21,91724.2098705388,108886.5283267209
2021-07-22,91608.56313349075,109075.02552097502
2021-07-23,90886.2353811892,108129.08088558976
2021-07-26,92118.05799220773,108951.37827887257
2021-07-27,91515.23578501928,107747.7631669381
2021-07-28,93106.96772012542,109195.21409896272
